"timestamp","game_id","player_id","player_type","player_color","current_turn","action","action_status","displayed_score","wagons_cards_hand_count","destination_cards_hand_count","calculated_current_destination_score"
"343310676901500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","24","PICK_WAGON_CARD","YES","23","5","4","-45"
"343310677076600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","24","CLAIM_ROUTE","YES","40","7","4","-44"
"343310677245300","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","25","PICK_WAGON_CARD","YES","22","5","4","-40"
"343310677386300","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","25","PICK_WAGON_CARD","YES","23","7","4","-45"
"343310677462400","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","25","PICK_WAGON_CARD","YES","44","9","4","-44"
"343310677746500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","26","PLACE_STATION","YES","22","3","4","-40"
"343310677975700","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","26","CLAIM_ROUTE","YES","23","5","4","-45"
"343310678069900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","26","PICK_WAGON_CARD","YES","44","11","4","-44"
"343310678223900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","27","PICK_WAGON_CARD","YES","22","5","4","-40"
"343310678358500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","27","PICK_WAGON_CARD","YES","25","7","4","-45"
"343310678492900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","27","CLAIM_ROUTE","YES","44","8","4","-44"
"343310680232800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","28","CLAIM_ROUTE","ROUTE_TUNNEL_NOT_ENOUGH_WAGON_CARDS","22","5","4","-40"
"343310680930300","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","28","CLAIM_ROUTE","YES","22","2","4","-40"
"343310681550600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","28","CLAIM_ROUTE","YES","25","5","4","-45"
"343310681874600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","28","PICK_WAGON_CARD","YES","48","10","4","-44"
